BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
BARO4E;LP;LPFR;RW10;BAROK;RW10;{{N37004868,W007583003}}
BARO4U;LP;LPFR;RW28;BAROK;RW28;{{N37004868,W007583003}}
NART4E;LP;LPFR;RW10;NARTA;RW10;{{N37004868,W007583003},{N36032292,W012332864}}
NART4U;LP;LPFR;RW28;NARTA;RW28;{{N37004868,W007583003},{N36032292,W012332864}}
TABO3H;LP;LPPS;RW19;TABOM;RW19;{{N32492377,W016204008},{N32133218,W016272722}}
ODEM1F;LP;LPFR;RW10;ODEMI;RW10;{{N36593220,W007485690},{N36553142,W008211134},{N37060088,W008274437},{N37295102,W008230244}}
ODEM1G;LP;LPFR;RW10;ODEMI;RW10;{{N36593220,W007485690},{N37040829,W007415096},{N37295102,W008230244}}
ODEM1V;LP;LPFR;RW28;ODEMI;RW28;{{N37014528,W008040302},{N37295102,W008230244}}
ODEM4E;LP;LPFR;RW10;ODEMI;RW10;{{N37004868,W007583003},{N37295102,W008230244}}
ODEM4U;LP;LPFR;RW28;ODEMI;RW28;{{N37013767,W008032343},{N37295102,W008230244}}
ODEM4V;LP;LPFR;RW28;ODEMI;RW28;{{N37004868,W007583003},{N37295102,W008230244}}
ORTO4E;LP;LPFR;RW10;ORTOP;RW10;{{N37004868,W007583003},{N36013596,W007230000}}
ORTO4U;LP;LPFR;RW28;ORTOP;RW28;{{N37004868,W007583003},{N36013596,W007230000}}
OSLA1F;LP;LPFR;RW10;OSLAD;RW10;{{N36593220,W007485690}}
OSLA1V;LP;LPFR;RW28;OSLAD;RW28;{{N37014528,W008040302}}
SOTE1V;LP;LPFR;RW28;SOTEX;RW28;{{N37014528,W008040302},{N38173376,W008131158}}
XAPA4E;LP;LPFR;RW10;XAPAS;RW10;{{N37001475,W007533337},{N37355002,W007565961}}
XAPA4U;LP;LPFR;RW28;XAPAS;RW28;{{N37013767,W008032343},{N37355002,W007565961}}
XAPA4V;LP;LPFR;RW28;XAPAS;RW28;{{N37004868,W007583003},{N37355002,W007565961}}
FRS1E;LP;LPHR;RW10;FRS;RW10;{{N38274900,W028504500},{N38381296,W028561268},{N39271292,W031123750}}
FRS1W;LP;LPHR;RW28;FRS;RW28;{{N38295749,W028523666},{N38383343,W028570763},{N39271292,W031123750}}
NOTM1E;LP;LPHR;RW10;LM;RW10;{{N38272062,W028413074},{N38272062,W028413074},{N38283111,W028430927},{N38311150,W028374618},{N38393189,W028213062},{N38484525,W028032213},{N38470216,W027061576}}
NOTM1W;LP;LPHR;RW28;LM;RW28;{{N38283111,W028430927},{N38311150,W028374618},{N38393189,W028213062},{N38484525,W028032213},{N38470216,W027061576}}
VMG1E;LP;LPHR;RW10;VMG;RW10;{{N38185585,W028262053},{N38224793,W028093464},{N37504556,W025452933}}
VMG1G;LP;LPHR;RW10;VMG;RW10;{{N38185585,W028262053},{N37504556,W025452933}}
VMG1H;LP;LPHR;RW28;VMG;RW28;{{N38185585,W028262053},{N37504556,W025452933}}
VMG1W;LP;LPHR;RW28;VMG;RW28;{{N38185585,W028262053},{N38224793,W028093464},{N37504556,W025452933}}
VSM1E;LP;LPHR;RW10;VSM;RW10;{{N38185585,W028262053},{N38203088,W028192122},{N36574646,W025095901}}
VSM1G;LP;LPHR;RW10;VSM;RW10;{{N38185585,W028262053},{N36574646,W025095901}}
VSM1H;LP;LPHR;RW28;VSM;RW28;{{N38185585,W028262053},{N36574646,W025095901}}
VSM1W;LP;LPHR;RW28;VSM;RW28;{{N38185585,W028262053},{N38203088,W028192122},{N36574646,W025095901}}
DOLE1N;LP;LPLA;RW33;DOLER;LM;{{N38470216,W027061576},{N39160456,W026224826}}
DOLE1S;LP;LPLA;RW15;DOLER;LM;{{N38470216,W027061576},{N39160456,W026224826}}
LADO1N;LP;LPLA;RW33;LADOX;LM;{{N38470216,W027061576},{N38564974,W028011629}}
LADO1S;LP;LPLA;RW15;LADOX;LM;{{N38470216,W027061576},{N38564974,W028011629}}
MIPR1N;LP;LPLA;RW33;MIPRU;LM;{{N38470216,W027061576},{N38162500,W026215343}}
MIPR1S;LP;LPLA;RW15;MIPRU;LM;{{N38470216,W027061576},{N38162500,W026215343}}
NOTM1N;LP;LPLA;RW33;NOTMA;LM;{{N38470216,W027061576},{N38484525,W028032213}}
NOTM1S;LP;LPLA;RW15;NOTMA;LM;{{N38470216,W027061576},{N38484525,W028032213}}
REGL1N;LP;LPLA;RW33;REGLA;LM;{{N38470216,W027061576},{N38511853,W026081950}}
REGL1S;LP;LPLA;RW15;REGLA;LM;{{N38470216,W027061576},{N38511853,W026081950}}
SIPR1N;LP;LPLA;RW33;SIPRU;LM;{{N38470216,W027061576},{N39104772,W027532234}}
SIPR1S;LP;LPLA;RW15;SIPRU;LM;{{N38470216,W027061576},{N39104772,W027532234}}
DEGU1N;LP;LPMA;RW05;DEGUN;MABUT;{{N32430383,W016353169},{N32575066,W016095264},{N33250735,W015392987}}
DEGU1S;LP;LPMA;RW23;DEGUN;MABUT;{{N32430383,W016353169},{N32575066,W016095264},{N33250735,W015392987}}
IRKI3N;LP;LPMA;RW05;IRKID;RW05;{{N32424635,W016420114},{N32451823,W016411694},{N32451823,W016411694},{N32444981,W016421963},{N33552958,W018040923}}
IRKI3S;LP;LPMA;RW23;IRKID;RW23;{{N32401415,W016403865},{N32451823,W016411694},{N32451823,W016411694},{N32444981,W016421963},{N33552958,W018040923}}
MADA3N;LP;LPMA;RW05;MADAT;RW05;{{N32345930,W016481163},{N32094273,W017050680}}
MADA3S;LP;LPMA;RW23;MADAT;RW23;{{N32345930,W016481163},{N32094273,W017050680}}
NIDU1N;LP;LPMA;RW05;NIDUL;R214K;{{N32345930,W016481163},{N32225273,W016563661},{N32215482,W017211052}}
NIDU1S;LP;LPMA;RW23;NIDUL;R214K;{{N32345930,W016481163},{N32225273,W016563661},{N32215482,W017211052}}
NOTR1K;LU;LUKK;RW08;NOTRA;THR40;{{N46554900,E029031100}}
SNT3E;LP;LPMA;RW05;SNT;RW05;{{N32424635,W016420114},{N32424635,W016420114},{N32462693,W016350764},{N33052548,W016210228}}
SNT3F;LP;LPMA;RW23;SNT;RW23;{{N32401415,W016403865},{N32461112,W016351980},{N32491100,W016200800},{N33052548,W016210228}}
SNT3N;LP;LPMA;RW05;SNT;RW05;{{N32424635,W016420114},{N32424635,W016420114},{N33040663,W016212975},{N33052548,W016210228}}
SNT3S;LP;LPMA;RW23;SNT;RW23;{{N32401415,W016403865},{N33040663,W016212975},{N33052548,W016210228}}
TABO3N;LP;LPMA;RW05;TABOM;RW05;{{N32133218,W016272722}}
TABO3S;LP;LPMA;RW23;TABOM;RW23;{{N32133218,W016272722}}
