BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
GARB2U;LE;LEBL;RW02;GARBI;RW02;{{N41123468,E002162903},{N41031204,E002140228},{N40481051,E002171227}}
GARB3D;LE;LEBL;RW25L;GARBI;RW25L;{{N41165768,E002020636},{N40481051,E002171227},{N40481051,E002171227}}
GIR1A;LE;LEBL;RW20;GIR;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41232684,E002205653},{N41283724,E002355584},{N41555224,E002461908}}
GIR1B;LE;LEBL;RW07L;GIR;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41283724,E002355584},{N41283724,E002355584},{N41555224,E002461908},{N41555224,E002461908}}
GIR1D;LE;LEBL;RW25R;GIR;BCN36;{{N41165768,E002020636},{N41014530,E002112603},{N41014530,E002112603},{N41020252,E002181274},{N41020252,E002181274},{N41090347,E002261967},{N41090347,E002261967},{N41043804,E002381155},{N41043804,E002381155},{N41262846,E002522558},{N41262846,E002522558},{N41555224,E002461908},{N41555224,E002461908}}
GIR1E;LE;LEBL;RW02;GIR;RW02;{{N41232754,E002205682},{N41283724,E002355584},{N41555224,E002461908}}
GRAU4A;LE;LEBL;RW20;GRAUS;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41311147,E002063510},{N41584454,E000223521}}
GRAU4B;LE;LEBL;RW07L;GRAUS;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41311147,E002063510},{N41311147,E002063510},{N41584454,E000223521},{N41584454,E000223521}}
GRAU4C;LE;LEBL;RW20;GRAUS;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N41123829,E001422103},{N41331053,E000385288},{N41584454,E000223521}}
GRAU4D;LE;LEBL;RW25L;GRAUS;RW25L;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N41123829,E001422103},{N41123829,E001422103},{N41331053,E000385288},{N41331053,E000385288},{N41584454,E000223521},{N41584454,E000223521}}
GRAU4E;LE;LEBL;RW02;GRAUS;RW02;{{N41232754,E002205682},{N41311147,E002063510},{N41584454,E000223521}}
LOBA3A;LE;LEBL;RW20;LOBAR;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41311147,E002063510},{N41445284,E000190639}}
LOBA3B;LE;LEBL;RW07L;LOBAR;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41311147,E002063510},{N41311147,E002063510},{N41445284,E000190639},{N41445284,E000190639}}
LOBA3C;LE;LEBL;RW20;LOBAR;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N41123829,E001422103},{N41331053,E000385288},{N41445284,E000190639}}
LOBA3D;LE;LEBL;RW25R;LOBAR;BCN36;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N41123829,E001422103},{N41123829,E001422103},{N41331053,E000385288},{N41331053,E000385288},{N41445284,E000190639},{N41445284,E000190639}}
LOBA3E;LE;LEBL;RW02;LOBAR;RW02;{{N41232754,E002205682},{N41311147,E002063510},{N41445284,E000190639}}
MOPA4A;LE;LEBL;RW20;MOPAS;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41311147,E002063510},{N41490581,E001363950},{N42083741,E001035713},{N42260735,E001020369}}
MOPA4B;LE;LEBL;RW07L;MOPAS;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41311147,E002063510},{N41311147,E002063510},{N41490581,E001363950},{N41490581,E001363950},{N42083741,E001035713},{N42083741,E001035713},{N42260735,E001020369},{N42260735,E001020369}}
MOPA4C;LE;LEBL;RW20;MOPAS;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N41123829,E001422103},{N41324389,E001312586},{N42260735,E001020369}}
MOPA4E;LE;LEBL;RW02;MOPAS;RW02;{{N41232754,E002205682},{N41311147,E002063510},{N41490581,E001363950},{N42083741,E001035713},{N42260735,E001020369}}
MOPA5D;LE;LEBL;RW25L;MOPAS;RW25L;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N41123829,E001422103},{N41123829,E001422103},{N41324389,E001312586},{N41324389,E001312586},{N42260735,E001020369},{N42260735,E001020369}}
OKAB4A;LE;LEBL;RW20;OKABI;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41311147,E002063510},{N41490581,E001363950},{N42365800,E001290100}}
OKAB4B;LE;LEBL;RW07L;OKABI;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41311147,E002063510},{N41311147,E002063510},{N41490581,E001363950},{N41490581,E001363950},{N42365800,E001290100},{N42365800,E001290100}}
OKAB4C;LE;LEBL;RW20;OKABI;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N41123829,E001422103},{N41490581,E001363950},{N42365800,E001290100}}
OKAB4D;LE;LEBL;RW25R;OKABI;BCN36;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N41123829,E001422103},{N41123829,E001422103},{N41490581,E001363950},{N41490581,E001363950},{N42365800,E001290100},{N42365800,E001290100}}
OKAB4E;LE;LEBL;RW02;OKABI;RW02;{{N41232754,E002205682},{N41311147,E002063510},{N41490581,E001363950},{N42365800,E001290100}}
RES3C;LE;LEBL;RW20;RES;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N41085890,E001101604}}
RES4A;LE;LEBL;RW20;RES;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41311147,E002063510},{N41203978,E001393443},{N41085890,E001101604}}
RES4B;LE;LEBL;RW07L;RES;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41232754,E002205682},{N41232754,E002205682},{N41311147,E002063510},{N41311147,E002063510},{N41203978,E001393443},{N41203978,E001393443},{N41085890,E001101604},{N41085890,E001101604}}
RES4D;LE;LEBL;RW25R;RES;BCN36;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N41053911,E001393280},{N41053911,E001393280},{N41085890,E001101604},{N41085890,E001101604}}
RES4E;LE;LEBL;RW02;RES;RW02;{{N41232754,E002205682},{N41311147,E002063510},{N41203978,E001393443},{N41085890,E001101604}}
SADE2N;LE;LEBL;RW20;SADEM;PRA;{{N41165917,E002045469},{N41150308,E002041405},{N41014530,E002112603},{N41022758,E002175349},{N41043804,E002381155},{N41123698,E003102558}}
SADE3A;LE;LEBL;RW20;SADEM;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41123698,E003102558}}
SADE3B;LE;LEBL;RW07L;SADEM;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41123698,E003102558},{N41123698,E003102558}}
SADE3C;LE;LEBL;RW20;SADEM;PRA;{{N41165917,E002045469},{N41150308,E002041405},{N41014530,E002112603},{N41020252,E002181274},{N41090347,E002261967},{N41043804,E002381155},{N41150034,E002445580},{N41123698,E003102558}}
SADE3E;LE;LEBL;RW02;SADEM;RW02;{{N41123698,E003102558}}
SADE3P;LE;LEBL;RW25L;SADEM;RW25L;{{N41165768,E002020636},{N41014530,E002112603},{N41014530,E002112603},{N41022758,E002175349},{N41022758,E002175349},{N41043804,E002381155},{N41043804,E002381155},{N41123698,E003102558},{N41123698,E003102558}}
SADE4D;LE;LEBL;RW25L;SADEM;RW25L;{{N41165768,E002020636},{N41014530,E002112603},{N41014530,E002112603},{N41020252,E002181274},{N41020252,E002181274},{N41090347,E002261967},{N41090347,E002261967},{N41043804,E002381155},{N41043804,E002381155},{N41150034,E002445580},{N41150034,E002445580},{N41123698,E003102558},{N41123698,E003102558}}
SALO2L;LE;LEBL;RW20;SALON;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41294017,E003111392}}
SALO2N;LE;LEBL;RW20;SALON;PRA;{{N41165917,E002045469},{N41150308,E002041405},{N41014530,E002112603},{N41022758,E002175349},{N41043804,E002381155},{N41294017,E003111392}}
SALO3A;LE;LEBL;RW20;SALON;RW20;{{N41150308,E002041405},{N41123468,E002162903},{N41211025,E002215854},{N41294017,E003111392}}
SALO3B;LE;LEBL;RW07L;SALON;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41294017,E003111392},{N41294017,E003111392}}
SALO3C;LE;LEBL;RW20;SALON;PRA;{{N41165917,E002045469},{N41150308,E002041405},{N41014530,E002112603},{N41020252,E002181274},{N41090347,E002261967},{N41043804,E002381155},{N41262846,E002522558},{N41294017,E003111392}}
SALO3E;LE;LEBL;RW02;SALON;RW02;{{N41294017,E003111392}}
SALO3P;LE;LEBL;RW25R;SALON;BCN36;{{N41165768,E002020636},{N41014530,E002112603},{N41014530,E002112603},{N41022758,E002175349},{N41022758,E002175349},{N41043804,E002381155},{N41043804,E002381155},{N41294017,E003111392},{N41294017,E003111392}}
SALO4D;LE;LEBL;RW25L;SALON;RW25L;{{N41165768,E002020636},{N41014530,E002112603},{N41014530,E002112603},{N41020252,E002181274},{N41020252,E002181274},{N41090347,E002261967},{N41090347,E002261967},{N41043804,E002381155},{N41043804,E002381155},{N41262846,E002522558},{N41262846,E002522558},{N41294017,E003111392},{N41294017,E003111392}}
SENI2A;LE;LEBL;RW20;SENIA;RW20;{{N40455190,E001534106},{N40513878,E001270701},{N40515152,E001105592},{N40520754,E000441955}}
SENI2B;LE;LEBL;RW07L;SENIA;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41123468,E002162903},{N41123468,E002162903},{N41065518,E002015587},{N41065518,E002015587},{N40455190,E001534106},{N40455190,E001534106},{N40513878,E001270701},{N40513878,E001270701},{N40515152,E001105592},{N40515152,E001105592},{N40520754,E000441955},{N40520754,E000441955}}
SENI2C;LE;LEBL;RW20;SENIA;PRA;{{N41165917,E002045469},{N40455190,E001534106},{N40513878,E001270701},{N40515152,E001105592},{N40520754,E000441955}}
SENI2E;LE;LEBL;RW02;SENIA;RW02;{{N41104131,E002250214},{N41010988,E001594034},{N40455190,E001534106},{N40513878,E001270701},{N40515152,E001105592},{N40520754,E000441955}}
SENI2L;LE;LEBL;RW20;SENIA;RW20;{{N41111093,E002025275},{N40545591,E001571332},{N40515152,E001105592},{N40520754,E000441955}}
SENI2M;LE;LEBL;RW07L;SENIA;BCN;{{N41182564,E002062811},{N41191625,E002085323},{N41123468,E002162903},{N41123468,E002162903},{N40545591,E001571332},{N40545591,E001571332},{N40515152,E001105592},{N40515152,E001105592},{N40520754,E000441955},{N40520754,E000441955}}
SENI2N;LE;LEBL;RW20;SENIA;PRA;{{N41165917,E002045469},{N41115700,E002003495},{N40515152,E001105592},{N40520754,E000441955}}
SENI2U;LE;LEBL;RW02;SENIA;RW02;{{N41123468,E002162903},{N41031204,E002140228},{N40515152,E001105592},{N40520754,E000441955}}
SENI3D;LE;LEBL;RW25R;SENIA;BCN36;{{N41165768,E002020636},{N41120336,E001525977},{N41120336,E001525977},{N40515152,E001105592},{N40515152,E001105592},{N40520754,E000441955},{N40520754,E000441955}}
ASTU1C;LE;LECO;RW22;ASTUR;RW22;{{N43220604,W008091817},{N43130637,W007213635}}
ASTU1D;LE;LECO;RW04;ASTUR;R109I;{{N43220604,W008091817},{N43130637,W007213635}}
FORN1C;LE;LECO;RW22;FORNO;RW22;{{N43150739,W008103600},{N42280519,W007285327}}
FORN1D;LE;LECO;RW04;FORNO;BERAX;{{N43150739,W008103600},{N42280519,W007285327}}
ALBE1H;LE;LEGE;RW20;ALBER;RW20;{{N41500412,E002441547},{N42012992,E002482596},{N42033120,E002471205},{N42270535,E002495565}}
ALBE2G;LE;LEGE;RW02;ALBER;RW02;{{N42012992,E002482596},{N42033120,E002471205},{N42055027,E002472828},{N42270535,E002495565}}
BGR1H;LE;LEGE;RW20;BGR;RW20;{{N41500412,E002441547},{N41490698,E002521603},{N41565167,E003123189}}
BGR1Z;LE;LEGE;RW02;BGR;RW02;{{N41563346,E003043008},{N41565167,E003123189}}
BGR2G;LE;LEGE;RW02;BGR;RW02;{{N42012992,E002482596},{N41581943,E003044390},{N41565167,E003123189}}
SLL1G;LE;LEGE;RW02;SLL;RW02;{{N42012992,E002482596},{N41555224,E002461908},{N41500412,E002441547},{N41452250,E002423374},{N41311147,E002063510}}
SLL1H;LE;LEGE;RW20;SLL;RW20;{{N41452250,E002423374},{N41311147,E002063510}}
SLL1Z;LE;LEGE;RW02;SLL;RW02;{{N41500412,E002441547},{N41452250,E002423374},{N41311147,E002063510}}
BAN1H;LE;LEGT;RW23;BAN;RW23;{{N40115917,W003503936},{N40350841,W003403544},{N40511394,W003144787},{N41192483,W002374725}}
CJN2H;LE;LEGT;RW23;CJN;RW23;{{N40115917,W003503936},{N39574849,W003381497},{N39575687,W003101670},{N40221906,W002324059}}
DGO1H;LE;LEGT;RW23;DGO;RW23;{{N40115917,W003503936},{N40350841,W003403544},{N40511394,W003144787},{N42271190,W002525054}}
KAMP1H;LE;LEGT;RW23;KAMPO;RW23;{{N40115917,W003503936},{N39440000,W004031939}}
NVS1H;LE;LEGT;RW23;NVS;RW23;{{N40115917,W003503936},{N40220724,W004145790}}
PINA2H;LE;LEGT;RW23;PINAR;RW23;{{N40115917,W003503936},{N40350841,W003403544},{N40511394,W003144787},{N40584906,W002355700}}
SIE1H;LE;LEGT;RW23;SIE;RW23;{{N40115917,W003503936},{N40350841,W003403544},{N41090613,W003361681}}
SIE1J;LE;LEGT;RW23;SIE;RW23;{{N40115917,W003503936},{N40384552,W003440905},{N41090613,W003361681}}
TLD1H;LE;LEGT;RW23;TLD;RW23;{{N40115917,W003503936},{N39581004,W004201489}}
BRUN1E;LE;LEIB;RW24;BRUNO;RW24;{{N38462289,E001070151},{N38362989,E000290000}}
BRUN1F;LE;LEIB;RW06;BRUNO;RW06;{{N38362989,E000290000}}
BRUN1R;LE;LEIB;RW06;BRUNO;RW06;{{N38535654,E001315553},{N38491329,E001341281},{N38483659,E001095758},{N38362989,E000290000}}
GATO1E;LE;LEIB;RW24;GATOS;RW24;{{N38462289,E001070151},{N38553719,E001031658},{N39065731,E001190941},{N39280254,E001235386}}
GATO1F;LE;LEIB;RW06;GATOS;RW06;{{N38550058,E001381125},{N39002016,E001380175},{N39063917,E001264203},{N39280254,E001235386}}
MHN2E;LE;LEIB;RW24;MHN;RW24;{{N38520604,E001215729},{N38430914,E001203736},{N38330065,E001355590},{N39000834,E002110017},{N39083663,E002572399},{N39514865,E004130190}}
MHN3F;LE;LEIB;RW06;MHN;RW06;{{N38535654,E001315553},{N38480651,E001552659},{N39001600,E002114000},{N39083663,E002572399},{N39514865,E004130190}}
MJV1E;LE;LEIB;RW24;MJV;RW24;{{N38520604,E001215729},{N38430914,E001203736},{N38330065,E001355590},{N39260667,E002452986}}
MJV2R;LE;LEIB;RW06;MJV;RW06;{{N38535654,E001315553},{N38480651,E001552659},{N39260667,E002452986}}
NINO1E;LE;LEIB;RW24;NINOT;RW24;{{N38462289,E001070151},{N38553719,E001031658},{N39080665,E000445860},{N39123180,E000290000}}
NINO1F;LE;LEIB;RW06;NINOT;RW06;{{N38550058,E001381125},{N39002016,E001380175},{N38591678,E001050436},{N39123180,E000290000}}
SURI1E;LE;LEIB;RW24;SURIB;RW24;{{N38520604,E001215729},{N38430914,E001203736},{N38330065,E001355590},{N38203160,E001550124}}
SURI1F;LE;LEIB;RW06;SURIB;RW06;{{N38535654,E001315553},{N38491329,E001341281},{N38471618,E001330975},{N38203160,E001550124}}
ALCO1K;LE;LEJR;RW21;ALCOL;RW21;{{N37103030,W005370810},{N37512127,W004310776}}
ALCO1L;LE;LEJR;RW21;ALCOL;RW21;{{N37103030,W005370810},{N37512127,W004310776}}
HIJ1K;LE;LEJR;RW21;HIJ;RW21;{{N37103030,W005370810},{N38095938,W005034152},{N38302928,W005055886}}
HIJ1L;LE;LEJR;RW21;HIJ;RW21;{{N37103030,W005370810},{N37354276,W006073960},{N38302928,W005055886}}
HIJ1M;LE;LEJR;RW21;HIJ;RW21;{{N37103030,W005370810},{N38095938,W005034152},{N38302928,W005055886}}
HIJ1N;LE;LEJR;RW21;HIJ;RW21;{{N37103030,W005370810},{N37354276,W006073960},{N38302928,W005055886}}
MAR1K;LE;LEJR;RW21;MAR;RW21;{{N36490351,W005124284},{N37031915,W004562360}}
MGA1K;LE;LEJR;RW21;MGA;RW21;{{N36490351,W005124284},{N36485152,W004221027}}
PIMO1K;LE;LEJR;RW21;PIMOS;RW21;{{N36490351,W005124284},{N36350446,W005001669},{N36122499,W004401967},{N36081834,W004541800}}
SANT1K;LE;LEJR;RW21;SANTA;RW21;{{N37103030,W005370810},{N37354276,W006073960},{N37400673,W006175406}}
SANT1L;LE;LEJR;RW21;SANTA;RW21;{{N37103030,W005370810},{N37354276,W006073960},{N37400673,W006175406}}
VJF1K;LE;LEJR;RW21;VJF;RW21;{{N36144986,W005581874}}
ALT1E;LE;LELC;RW05;ALT;RW05;{{N38070015,W000334829},{N38160581,W000341241}}
DIME1A;LE;LELC;RW23;DIMER;RW23;{{N37330258,W000590713},{N37182244,W001100691}}
PALO1A;LE;LELC;RW05;PALOS;RW05;{{N37342862,W000321243}}
PALO1B;LE;LELC;RW23;PALOS;RW23;{{N37330258,W000590713},{N37301349,W000574210},{N37342862,W000321243}}
RATA1G;LE;LELN;RW05;RATAS;RW05;{{N42382636,W005345497},{N42353757,W005384612},{N42342802,W004015078}}
RATA1H;LE;LELN;RW23;RATAS;RW23;{{N42324865,W005423693},{N42353757,W005384612},{N42353757,W005384612},{N42342802,W004015078}}
VEDE1G;LE;LELN;RW05;VEDER;RW05;{{N42382636,W005345497},{N42353757,W005384612},{N42353757,W005384612},{N42443466,W005521071}}
VEDE1H;LE;LELN;RW23;VEDER;RW23;{{N42324865,W005423693},{N42353757,W005384612},{N42353757,W005384612},{N42443466,W005521071}}
ZMR1G;LE;LELN;RW05;ZMR;RW05;{{N42382636,W005345497},{N42353757,W005384612},{N42003674,W005384133},{N41314864,W005382282}}
ZMR1H;LE;LELN;RW23;ZMR;RW23;{{N42324865,W005423693},{N42003674,W005384133},{N41314864,W005382282}}
BAN3A;LE;LEMD;RW36R;BAN;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N41192483,W002374725}}
BAN3J;LE;LEMD;RW36L;BAN;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N41192483,W002374725}}
BAN4C;LE;LEMD;RW33;BAN;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N41192483,W002374725}}
CJN4B;LE;LEMD;RW15;CJN;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40151049,W003205291},{N40105779,W003020521},{N40085882,W002531975},{N40221906,W002324059}}
CJN4D;LE;LEMD;RW18L;CJN;BJ;{{N40264868,W003334519},{N40235933,W003334519},{N40151049,W003205291},{N40105779,W003020521},{N40085882,W002531975},{N40221906,W002324059}}
CJN5A;LE;LEMD;RW36R;CJN;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700},{N40221906,W002324059}}
CJN6C;LE;LEMD;RW33;CJN;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700},{N40221906,W002324059}}
CJN6E;LE;LEMD;RW36L;CJN;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700},{N40221906,W002324059}}
MONT1B;LE;LEMD;RW15;MONTO;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40092163,W003290301},{N39440000,W004031939},{N39131837,W004294858}}
MONT1D;LE;LEMD;RW18L;MONTO;BJ;{{N40264868,W003334519},{N40175384,W003312941},{N40031278,W003371709},{N39440000,W004031939},{N39131837,W004294858}}
MONT1Q;LE;LEMD;RW15;MONTO;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40151049,W003205291},{N39440000,W004031939},{N39131837,W004294858}}
MONT2A;LE;LEMD;RW36R;MONTO;RW36R;{{N40315657,W003334547},{N40343211,W003364909},{N40324063,W003435002},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
MONT2C;LE;LEMD;RW33;MONTO;RW33;{{N40334539,W003361553},{N40324063,W003435002},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
MONT2S;LE;LEMD;RW33;MONTO;RW33;{{N40400747,W003321925},{N40384552,W003440905},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
MONT2Y;LE;LEMD;RW36R;MONTO;RW36R;{{N40315657,W003334547},{N40400480,W003322095},{N40384552,W003440905},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
MONT3E;LE;LEMD;RW36L;MONTO;SSE;{{N40324714,W003343069},{N40344623,W003383819},{N40324063,W003435002},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
MONT3W;LE;LEMD;RW36L;MONTO;SSE;{{N40324714,W003343069},{N40400480,W003322095},{N40384552,W003440905},{N40220724,W004145790},{N39581004,W004201489},{N39131837,W004294858}}
NAND1C;LE;LEMD;RW15;NANDO;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40151049,W003205291},{N40105779,W003020521},{N39591988,W002102841}}
NAND1F;LE;LEMD;RW18L;NANDO;BJ;{{N40264868,W003334519},{N40235933,W003334519},{N40151049,W003205291},{N40105779,W003020521},{N39591988,W002102841}}
NAND2A;LE;LEMD;RW36R;NANDO;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39591644,W002371937},{N39591988,W002102841}}
NAND3D;LE;LEMD;RW33;NANDO;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39591644,W002371937},{N39591988,W002102841}}
NAND3G;LE;LEMD;RW36L;NANDO;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39591644,W002371937},{N39591988,W002102841}}
NASO1B;LE;LEMD;RW15;NASOS;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40151049,W003205291},{N39235687,W003014004}}
NASO1D;LE;LEMD;RW18L;NASOS;BJ;{{N40264868,W003334519},{N40235933,W003334519},{N40151049,W003205291},{N39235687,W003014004}}
NASO2A;LE;LEMD;RW36R;NASOS;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39235687,W003014004}}
NASO3C;LE;LEMD;RW33;NASOS;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39235687,W003014004}}
NASO3E;LE;LEMD;RW36L;NASOS;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39235687,W003014004}}
NVS3E;LE;LEMD;RW36L;NVS;SSE;{{N40324714,W003343069},{N40344623,W003383819},{N40324063,W003435002},{N40220724,W004145790}}
NVS3W;LE;LEMD;RW36L;NVS;SSE;{{N40324714,W003343069},{N40400480,W003322095},{N40384552,W003440905},{N40220724,W004145790}}
NVS4B;LE;LEMD;RW15;NVS;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40175384,W003312941},{N40192900,W003470342},{N40220724,W004145790}}
NVS4D;LE;LEMD;RW18L;NVS;BJ;{{N40264868,W003334519},{N40175384,W003312941},{N40220724,W004145790}}
NVS5A;LE;LEMD;RW36R;NVS;RW36R;{{N40315657,W003334547},{N40343211,W003364909},{N40324063,W003435002},{N40220724,W004145790}}
NVS5C;LE;LEMD;RW33;NVS;RW33;{{N40334539,W003361553},{N40324063,W003435002},{N40220724,W004145790}}
NVS5S;LE;LEMD;RW33;NVS;RW33;{{N40400747,W003321925},{N40384552,W003440905},{N40220724,W004145790}}
NVS5Y;LE;LEMD;RW36R;NVS;RW36R;{{N40315657,W003334547},{N40400480,W003322095},{N40384552,W003440905},{N40220724,W004145790}}
PINA1A;LE;LEMD;RW36R;PINAR;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700}}
PINA1B;LE;LEMD;RW15;PINAR;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40175384,W003312941},{N40192900,W003470342},{N40351273,W003445665},{N40455686,W003255886},{N40511394,W003144787},{N40584906,W002355700}}
PINA1D;LE;LEMD;RW18L;PINAR;BJ;{{N40264868,W003334519},{N40175384,W003312941},{N40192900,W003470342},{N40351273,W003445665},{N40455686,W003255886},{N40511394,W003144787},{N40584906,W002355700}}
PINA2C;LE;LEMD;RW33;PINAR;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700}}
PINA2E;LE;LEMD;RW36L;PINAR;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40511394,W003144787},{N40584906,W002355700}}
RBO1E;LE;LEMD;RW36L;RBO;RW36L;{{N40365219,W003284938},{N40374316,W003225938},{N40414949,W003183596},{N40511394,W003144787}}
SIE1A;LE;LEMD;RW36R;SIE;RW36R;{{N40315657,W003334547},{N40460677,W003314516},{N40515818,W003311548},{N41090613,W003361681}}
SIE1B;LE;LEMD;RW15;SIE;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40175384,W003312941},{N40192900,W003470342},{N40351273,W003445665},{N41090613,W003361681}}
SIE1D;LE;LEMD;RW18L;SIE;BJ;{{N40264868,W003334519},{N40175384,W003312941},{N40192900,W003470342},{N40351273,W003445665},{N41090613,W003361681}}
SIE2C;LE;LEMD;RW33;SIE;RW33;{{N40380760,W003322864},{N40460677,W003314516},{N40515818,W003311548},{N41090613,W003361681}}
SIE2E;LE;LEMD;RW36L;SIE;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40460677,W003314516},{N40515818,W003311548},{N41090613,W003361681}}
TEMI1B;LE;LEMD;RW15;TEMIR;RW15;{{N40262498,W003311638},{N40222245,W003261172},{N40151049,W003205291},{N40084574,W003031090},{N39564882,W002301423}}
TEMI1D;LE;LEMD;RW18L;TEMIR;BJ;{{N40264868,W003334519},{N40235933,W003334519},{N40151049,W003205291},{N40084574,W003031090},{N39564882,W002301423}}
TEMI2A;LE;LEMD;RW36R;TEMIR;RW36R;{{N40315657,W003334547},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39564882,W002301423}}
TEMI3C;LE;LEMD;RW33;TEMIR;RW33;{{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39564882,W002301423}}
TEMI3E;LE;LEMD;RW36L;TEMIR;SSE;{{N40324714,W003343069},{N40380760,W003322864},{N40420198,W003284091},{N40335071,W003213720},{N40151049,W003205291},{N39564882,W002301423}}
GENI1A;LE;LEMG;RW14;GENNI;RW14;{{N36340050,W004205815},{N36485152,W004221027},{N37024649,W004043044}}
GENI1B;LE;LEMG;RW32;GENNI;RW32;{{N36425798,W004332255},{N36400184,W004163345},{N36485152,W004221027},{N37024649,W004043044}}
HIJ1A;LE;LEMG;RW14;HIJ;RW14;{{N36340050,W004205815},{N36485152,W004221027},{N37503385,W004504852},{N38302928,W005055886}}
HIJ1B;LE;LEMG;RW32;HIJ;RW32;{{N36425798,W004332255},{N36400184,W004163345},{N36485152,W004221027},{N37503385,W004504852},{N38302928,W005055886}}
JRZ1A;LE;LEMG;RW14;JRZ;RW14;{{N36380109,W004263114},{N36181265,W004372939},{N36490351,W005124284},{N36485467,W006013554}}
JRZ1B;LE;LEMG;RW14;JRZ;RW14;{{N36340050,W004205815},{N36485152,W004221027},{N36490351,W005124284},{N36485467,W006013554}}
