546;EG;ODH;ODIHAM;N51135825;W000565457;;;W0030;WGE;EGTT;EGTT;;;00410;10960;000;;2
556;LF;ORG;ORANGE CARITAT;N44082150;E004515780;;;W0012;WGE;LFMM;LFFF;;;00220;10940;339;;1
558;EN;ORL;ORLAND;N63405194;E009372536;;;W0000;WGE;ENOR;ENOR;;;00065;11140;;;2
560;LI;ORT;ORTANOVA;N41235900;E015470500;;;E0013;WGE;LIBB;LIBB;;;00086;11430;000;;2
561;ED;OSB;OSNABRUCK;N52120060;E008170780;;;E0000;WGE;EDWW;EDVV;;;00417;10835;;;0
569;LP;OVR;OVAR;N40531327;W008383607;;;W0046;WGE;LPPC;LPPC;;;00056;11060;;;1
581;LI;PED;PERDASDEFOGU;N39400900;E009263600;;;E0015;WGE;LIRR;LIRR;;;00050;10900;254;;1
586;LI;PIA;PIACENZA-TAC;N44544500;E009430900;;;E0001;WGE;LIMM;LIMM;;;00498;11740;317;;0
587;LI;PIN;PISA;N43431300;E010255640;;;E0013;WGE;LIMM;LIMM;;;00075;10830;513;;0
604;ED;PRN;PRESCHEN;N51394200;E014380600;;;E0014;WGE;EDBB;EDBB;;;00000;11705;342;;1
610;LG;PRV;PREVEZA;N38551100;E020452800;;;E0021;;LGGG;LGGG;;;00013;10920;217;;1
630;LI;RIV;RIVOLTO-TAC;N45594460;E013051820;;;E0009;WGE;LIMM;LIMM;;;00267;11000;000;;0
634;ED;RMS;RAMSTEIN;N49260480;E007352940;;;W0009;WGE;EDFF;EDUU;;;00762;11340;000;;1
645;EN;RYG;RYGGE;N59224524;E010464658;;;E0050;WGE;ENOR;ENOR;;;00190;11350;;;2
650;LF;SAL;SALON;N43364260;E005061010;;;W0009;WGE;LFMM;LFFF;;;00194;11515;465;;2
653;EG;SAT;ST ATHAN;N51242305;W003260591;;;W0040;WGE;EGTT;EGTT;;;00178;11480;437;;2
658;LI;SAZ;SAZ;N44043200;E009562000;;;E0005;WGE;LIMM;LIMM;;;00500;11110;326;;1
663;LF;SDI;SAINT DIZIER-ROBINSON;N48381320;E004532110;;;W0016;WGE;LFFF;LFFF;;;00492;11400;000;;1
677;LI;SIG;SIGONELLA-TAC;N37234510;E014581550;;;E0010;WGE;LIRR;LIRR;;;00046;11160;000;;2
693;EG;SMG;ST MAWGAN;N50260406;W005014891;;;W0044;WGE;EGTT;EGTT;;;00323;11260;265;;2
699;EN;SOA;SOLA;N58523291;E005380694;;;W0027;WGE;ENOR;ENOR;;;00062;11225;556;;2
703;ED;SPA;SPANGDAHLEM;N49583700;E006415200;;;W0000;WGE;EDFF;EDUU;;;01166;10950;293;;1
715;EH;SSB;SOESTERBERG;N52074164;E005163198;;;W0020;WGE;EHAA;EHAA;;;00083;11580;194;;1
742;ED;SWG;SCHLESWIG;N54271380;E009300540;;;W0000;WGE;EDWW;EDVV;;;00105;11180;534;;2
744;LF;SZA;SOLENZARA;N41561490;E009235840;;;E0002;WGE;LFMM;LFFF;;;00079;11400;445;;1
745;LE;TAB;ALBACETE;N38564470;W001514860;;;W0021;WGE;LECB;LECB;;;02303;10800;000;;0
