2865;LP;4325N;N43 00 W025 00;N43000000;W025000000;ENRT;;W0114;WGE;LPPO;LPPO;;;;IF;
2866;LP;4330N;N43 00 W030 00;N43000000;W030000000;ENRT;;W0144;WGE;LPPO;LPPO;;;;RF;
2867;LP;4335N;N43 00 W035 00;N43000000;W035000000;ENRT;;W0153;WGE;LPPO;LPPO;;;;IF;
2868;LF;43CRL;DPE-151/CRL D43.0;N49330234;E001310196;ENRT;;W0028;WGE;LFFF;LFFF;;;;I E;
2869;LE;4400E;N44 00 E000 00;N44000000;E000000000;ENRT;;W0020;WGE;LECM;LECM;;;;RF;
2870;LE;4410N;N44 00 W010 00;N44000000;W010000000;ENRT;;W0059;WGE;LECM;LECM;;;;RF;
2871;LP;4415N;N44 00 W015 00;N44000000;W015000000;ENRT;;W0074;WGE;LPPO;LPPO;;;;IF;
2872;LP;4420N;N44 00 W020 00;N44000000;W020000000;ENRT;;W0101;WGE;LPPO;LPPO;;;;RF;
2873;LP;4425N;N44 00 W025 00;N44000000;W025000000;ENRT;;W0116;WGE;LPPO;LPPO;;;;IF;
2874;LP;4430N;N44 00 W030 00;N44000000;W030000000;ENRT;;W0147;WGE;LPPO;LPPO;;;;RF;
2875;LP;4435N;N44 00 W035 00;N44000000;W035000000;ENRT;;W0155;WGE;LPPO;LPPO;;;;IF;
2876;LE;4500E;N45 00 E000 00;N45000000;E000000000;ENRT;;W0021;WGE;LECM;LECM;;;;RF;
2877;LE;4508N;N45 00 W008 00;N45000000;W008000000;ENRT;;W0053;WGE;LECM;LECM;;;;RF;
2878;LP;4514N;N45 00 W014 00;N45000000;W014000000;ENRT;;W0078;WGE;LPPO;LPPO;;;;RF;B
2879;EG;4515N;N45 00 W015 00;N45000000;W015000000;ENRT;;W0086;WGE;EGGX;EGGX;;;;RF;
2880;LP;4516N;N45 00 W016 00;N45000000;W016000000;ENRT;;W0086;WGE;LPPO;LPPO;;;;RF;B
2881;EG;4517N;N45 00 W017 36;N45000000;W017000000;ENRT;;W0095;WGE;EGGX;EGGX;;;;IF;
2882;EG;4518N;N45 00 W018 00;N45000000;W018000000;ENRT;;W0099;WGE;EGGX;EGGX;;;;IF;
2883;LP;4520N;N45 00 W020 00;N45000000;W020000000;ENRT;;W0106;WGE;LPPO;LPPO;;;;RO;
2884;EG;4525N;N45 00 W025 00;N45000000;W025000000;ENRT;;W0129;WGE;EGGX;EGGX;;;;RF;
2885;LP;4527N;N45 00 W027 00;N45000000;W027000000;ENRT;;W0134;WGE;LPPO;LPPO;;;;RF;
2886;LP;4530N;N45 00 W030 00;N45000000;W030000000;ENRT;;W0145;WGE;LPPO;LPPO;;;;RF;
2887;LP;4532N;N45 00 W032 00;N45000000;W032000000;ENRT;;W0157;WGE;LPPC;LPPC;;;;IF;
2888;LP;4535N;N45 00 W035 00;N45000000;W035000000;ENRT;;W0169;WGE;LPPO;LPPO;;;;RF;
2889;LF;45D;OMANI-133/LSE D45.0;N46104935;E004125042;ENRT;;W0005;WGE;LFMM;LFFF;;;;I E;
2890;LO;45FRE;FRE-089/D45.0;N48253632;E015152149;ENRT;;E0021;WGE;LOVV;LOVV;;;;I;RB
2891;LF;45LSE;MTL-ROLIR/LSE-D45.0;N45010817;E004493892;ENRT;;W0006;WGE;LFMM;LFFF;;;;I E;
2892;LF;45NM;MEZIN-072/LSE D45.0;N45060788;E004323614;ENRT;;W0004;WGE;LFMM;LFFF;;;;I E;
2893;LF;45OL;OL-203/D4.5;N48393630;E002204242;ENRT;;W0016;WGE;LFFF;LFFF;;;;I D;
2894;LD;45RJK;RJK-021/D4.5;N45173717;E014362415;ENRT;;E0020;WGE;LDZO;LDZO;;;;R E;
2895;LF;4600E;N46 00 E000 00;N46000000;E000000000;ENRT;;W0022;WGE;LFBB;LFFF;;;;RF;
2896;LS;4606E;N46 20 28 E006 46 46;N46202800;E006464600;ENRT;;W0000;WGE;LSAS;LSAS;;;;IU;RB
2897;EG;4610N;N46 00 W010 00;N46000000;W010000000;ENRT;;W0063;WGE;EGPX;EGPX;;;;RF;
2898;EG;4615N;N46 00 W015 00;N46000000;W015000000;ENRT;;W0084;WGE;EGGX;EGGX;;;;RF;
2899;EG;4620N;N46 00 W020 00;N46000000;W020000000;ENRT;;W0106;WGE;EGGX;EGGX;;;;RF;
2900;EG;4625N;N46 00 W025 00;N46000000;W025000000;ENRT;;W0120;WGE;EGGX;EGGX;;;;IF;
2901;EG;4630N;N46 00 W030 00;N46000000;W030000000;ENRT;;W0148;WGE;EGGX;EGGX;;;;RF;
2902;LF;4700E;N47 00 E000 00;N47000000;E000000000;ENRT;;W0023;WGE;LFBB;LFFF;;;;RF;
2903;EG;4710N;N47 00 W010 00;N47000000;W010000000;ENRT;;W0060;WGE;EGPX;EGPX;;;;RF;
2904;EG;4715N;N47 00 W015 00;N47000000;W015000000;ENRT;;W0088;WGE;EGGX;EGGX;;;;RF;
2905;EG;4720N;N47 00 W020 00;N47000000;W020000000;ENRT;;W0108;WGE;EGGX;EGGX;;;;RF;
2906;EG;4725N;N47 00 W025 00;N47000000;W025000000;ENRT;;W0123;WGE;EGGX;EGGX;;;;IF;
2907;EG;4730N;N47 00 W030 00;N47000000;W030000000;ENRT;;W0151;WGE;EGGX;EGGX;;;;RF;
2908;LF;4800E;N48 00 E000 00;N48000000;E000000000;ENRT;;W0024;WGE;LFFF;LFFF;;;;RF;
2909;EG;4809N;N48 00 W009 00;N48000000;W009000000;ENRT;;W0063;WGE;EGGX;EGGX;;;;RF;
