1469;LF;BN;BALE MULHOUSE;N47394210;E007284470;;;W0007;WGE;LFEE;LFFF;;;;03530;H L N
1470;EN;BNK;BANAK;N70042761;E024584617;;;E0080;WGE;ENOR;ENOR;;;;03450;H    
1471;LK;BNO;BRNO;N49084137;E016460678;;;E0018;WGE;LKAA;LKAA;;;;03680;H   N
1472;EG;BO;BENSON;N51431200;W001041800;;;W0041;WGE;EGTT;EGTT;;;;03410;H   N
1473;LD;BO;BOKANJAC;N44100929;E015155041;;;E0016;WGE;LDZO;LDZO;;;;03850;H MWN
1474;LF;BO;SAINT ETIENNE;N45311390;E004175610;;;W0013;WGE;LFMM;LFFF;;;;02990;H M N
1475;LI;BOA;BOLOGNA-NDB;N44340230;E011120085;;;E0014;WGE;LIMM;LIMM;;;;04130;H    
1476;LF;BOR;BOURG CEYZERIAT;N46121310;E005171600;;;W0010;WGE;LFFF;LFFF;;;;04230;H LW 
1477;ED;BOT;BOTTROP;N51350889;E007012284;;;W0000;WGE;EDLL;EDVV;;;;04065;H M  
1478;EG;BOU;BOURN;N52123900;W000024400;;;W0037;WGE;EGTT;EGTT;;;;03915;H   N
1479;LB;BOZ;BOZHOURISHTE;N42463000;E023113000;;;E0027;;LBSR;LBSR;;;;03120;H   N
1480;LF;BP;BASTIA;N42253240;E009321480;;;E0002;WGE;LFMM;LFFF;;;;03690;H   N
1481;EG;BPL;BLACKPOOL;N53462236;W003014026;;;W0051;WGE;EGTT;EGTT;;;;04200;H M N
1482;LI;BPL;BARI;N41063707;E016393762;;;E0016;WGE;LIBB;LIBB;;;;04010;H L A
1483;EG;BQ;BEDFORD / THURLEIGH;N52143300;W000203400;;;W0039;WGE;EGTT;EGTT;;;;03915;H   N
1484;BI;BR;BREIDAVAD;N65195800;W014222100;;;W0152;WGE;BIRD;BIRD;;;;03820;H   N
1485;LH;BR;BUDAPEST;N47223653;E019220561;;;E0025;WGE;LHCC;LHCC;;;;03950;HO  A
1486;LE;BRB;BARCIAL DEL BARCO;N41555570;W005400080;;;W0040;WGE;LECM;LECM;;;;02920;H M N
1487;LI;BRD;BRINDISI-NDB;N40361970;E018003180;;;E0019;WGE;LIBB;LIBB;;;;03635;HO  A
1488;LF;BRG;BOURGES;N47010430;E002165360;;;W0022;WGE;LFFF;LFFF;;;;03750;H M N
1489;LP;BRG;BRAGANCA;N41474800;W006433100;;;W0040;WGE;LPPC;LPPC;;;;03580;H M N
1490;EG;BRI;BRISTOL;N51225319;W002430316;;;W0040;WGE;EGTT;EGTT;;;;04140;H M  
1491;LO;BRK;BRUCK;N48034652;E016430029;;;E0017;WGE;LOVV;LOVV;;;;04080;HOM A
1492;LY;BRN;BERANE;N42521620;E019541230;;;E0022;WGE;LYBA;LYBA;;;;03220;H   N
1493;EG;BRR;BARRA;N57013226;W007265612;;;W0070;WGE;EGPX;EGPX;;;;03160;H L  
1494;EN;BRS;BREMSNES;N63050534;E007385229;;;W0023;WGE;ENOR;ENOR;;;;03710;HO  A
1495;ED;BRU;BRAUNSCHWEIG;N52192008;E010362217;;;E0007;WGE;EDWW;EDVV;;;;04270;H L N
1496;LD;BRZ;BREZA;N45252514;E014204344;;;E0014;WGE;LDZO;LDZO;;;;04000;H  WN
1497;LF;BS;BALE;N47344700;E007321050;;;W0007;WGE;LFEE;LFFF;;;;03760;H   N
1498;LR;BSE;BANEASA;N44314669;E026134993;;;E0035;WGE;LRBB;LRBB;;;;02560;H   N
1499;LF;BST;LANVEOC POULMIC;N48170100;W004255600;;;W0045;WGE;LFRR;LFFF;;;;04280;H M N
1500;LF;BSV;BESANCON LA VEZE;N47160080;E006120940;;;W0009;WGE;LFEE;LFFF;;;;03700;H M N
1501;LR;BSW;BANEASA;N44281951;E025570719;;;E0033;WGE;LRBB;LRBB;;;;05210;HO   
1502;LY;BT;BATAJNICA;N44580600;E020120600;;;E0025;WGE;LYBA;LYBA;;;;04200;H   N
1503;EN;BTA;BRATTA;N60025670;E005180195;;;W0030;WGE;ENOR;ENOR;;;;03360;H   N
1504;ED;BTH;BARTH;N54201813;E012410997;;;E0020;WGE;EDBB;EDBB;;;;03730;H M  
1505;LB;BU;BURGAS NDB / LOM RWY04;N42310800;E027264600;;;E0030;;LBWR;LBWR;;;;03210;H   N
1506;LH;BUG;BUGAC;N46403888;E019405626;;;E0023;WGE;LHCC;LHCC;;;;04300;H   N
1507;EG;BUR;BURNHAM;N51310800;W000403800;;;W0035;WGE;EGTT;EGTT;;;;04210;H L N
1508;EG;BV;BROUGH;N53433137;W000345334;;;W0036;WGE;EGTT;EGTT;;;;03720;H   N
1509;EN;BV;BERLEVAG;N70522449;E029032179;;;E0110;WGE;ENOR;ENOR;;;;03990;H M N
1510;LF;BV;BEAUVAIS;N49293010;E002014630;;;W0020;WGE;LFFF;LFFF;;;;03910;H L  
1511;EN;BVK;BAATVIK;N62142708;E005483630;;;W0033;WGE;ENOR;ENOR;;;;03620;H   N
1512;ED;BW;BREMEN WEST;N53023918;E008401191;;;W0009;WGE;EDWW;EDVV;;;;02765;H L  
1513;EN;BX;BATSFJORD;N70362599;E029424656;;;E0106;WGE;ENOR;ENOR;;;;03480;H   N
1514;LF;BX;MENDE;N44340180;E003280870;;;W0010;WGE;LFMM;LFFF;;;;03930;H M  
1515;EG;BY;BRAWDY;N51532400;W005071800;;;W0053;WGE;EGTT;EGTT;;;;04270;H   N
1516;EI;BY;MARINE BAILY LIGHT HOUSE;N53214100;W006030500;;;W0062;WGE;EISN;EISN;;;;02890;H   N
1517;ED;BYC;BUECKEBURG;N52172833;E009052775;;;E0003;WGE;EDWW;EDVV;;;;03680;H M N
1518;EG;BZ;BRIZE NORTON;N51445724;W001360582;;;W0036;WGE;EGTT;EGTT;;;;03860;H   N
1519;LF;BZ;BIARRITZ BAYONNE ANGLET;N43281390;W001241330;;;W0027;WGE;LFBB;LFFF;;;;03410;H M N
1520;LI;BZO;BOLZANO;N46274914;E011191877;;;E0006;WGE;LIMM;LIMM;;;;03620;H   N
