ENRT;;00;GIMSA;EN;E;A;0490;L;;10;03000;;;;;GIMSA;WAYPOINT;5371
ENRT;;00;GODAG;EN;E;A;2700;R;;10;04000;;;;;GODAG;WAYPOINT;5424
ENRT;;00;GRK;EN;D;B;0500;L;;10;04000;;;;;GRAKALLEN;NDB;1771
ENRT;;00;GRT;LI;D;B;1670;L;;10;03000;;;;;GROTTAGLIE;NDB;1775
ENRT;;00;GRZ;LO;D; ;3480;R;035;;04000;;;;;GRAZ;VHF;289
ENRT;;00;GTQ;LF;D; ;3120;R;;10;04800;;;;;GROSTENQUIN;VHF;292
ENRT;;00;HANDY;LQ;E;A;3460;R;;10;06000;;;;;HANDY;WAYPOINT;5557
ENRT;;00;HARBR;EG;E;A;2930;R;;10;02800;;;;;HARBR;WAYPOINT;5560
ENRT;;00;HAW;EG;D;B;0450;R;;10;02500;;;;;HAWARDEN;NDB;1802
ENRT;;00;HB;EG;D;B;0400;R;;10;02800;;;;;BELFAST;NDB;1804
ENRT;;00;HEK;EF;D;B;3150;R;035;;03000;;;;;HEKA;NDB;1812
ENRT;;00;HER;LG;D;B;0800;L;;10;05000;;;;;IRAKLION;NDB;1814
ENRT;;00;HEUSE;ED;E;A;1870;L;;10;FL090;;;;;HEUSE;WAYPOINT;5580
ENRT;;00;HIG;LE;D;B;1370;R;;10;04000;;;;;SAN SEBASTIAN;NDB;1821
ENRT;;00;HJ;BI;D;B;1920;R;;10;05000;;;;;HJALTEYRI;NDB;1823
ENRT;;00;HOLLY;LP;E;A;2460;R;;10;04500;;;;;HOLLY;WAYPOINT;5590
ENRT;;00;HOTEL;LG;E;A;0080;R;035;;04000;;;;;HOTEL;WAYPOINT;5598
ENRT;;00;HYV;EF;D;B;1450;L;;10;03000;FL140;230;;;HYVINKAA;NDB;1856
ENRT;;00;IDARU;LR;E;A;2570;R;;10;FL050;;;;;IDARU;WAYPOINT;5626
ENRT;;00;IRA;LG;D; ;0800;L;;10;05000;;;;;IRAKLION;VHF;337
ENRT;;00;IS;LF;D;B;1360;R;;10;04000;;;;;AJACCIO;NDB;1873
ENRT;;00;IXUVA;LP;E;A;0900;R;120;;FL150;FL280;;;;IXUVA;WAYPOINT;5718
ENRT;;00;JESSY;LI;E;A;0360;L;040;;03000;;;;;JESSY;WAYPOINT;5721
ENRT;;00;JOE;EF;D;B;1040;L;;10;02000;;;;;JOENSUU;NDB;1890
