177;EG;DCS;DEAN CROSS;N54431900;W003202600;;;W0045;WGE;EGTT;EGTT;;;00700;DCS;N54431900;W003202600;11520;408;;2
178;LG;DDM;DIDIMON;N37283961;E023130181;;;E0023;;LGGG;LGGG;;;03655;DDM;N37283961;E023130181;11720;000;;2
180;LQ;DER;DERVENTA;N44590290;E017581000;;;E0020;WGE;LQSB;LQSB;;;00401;DER;N44590290;E017581000;11240;415;;2
181;EG;DET;DETLING;N51181441;E000355019;;;W0022;WGE;EGTT;EGTT;;;00645;DET;N51181441;E000355019;11730;273;;2
183;LE;DGO;DOMINGO;N42271190;W002525054;;;W0026;WGE;LECM;LECM;;;02126;DGO;N42271230;W002525013;11260;000;;2
186;EB;DIK;DIEKIRCH;N49514096;E006074671;;;W0009;WGE;EBBU;EBUR;;;01109;DIK;N49514096;E006074671;11440;317;;2
187;LF;DIN;DINARD PLEURTUIT SAINT MALO;N48350980;W002045640;;;W0030;WGE;LFRR;LFFF;;;00213;DIN;N48350980;W002045640;11430;426;;2
188;LF;DJL;DIJON LONGVIC;N47161482;E005055038;;;W0006;WGE;LFEE;LFFF;;;00768;DJL;N47161482;E005055038;11145;000;;2
189;ED;DKB;DINKELSBUHL;N49083391;E010141790;;;E0010;WGE;EDFF;EDUU;;;01790;DKB;N49083391;E010141790;11780;274;;2
191;ED;DLE;LEINE;N52150116;E009530059;;;E0010;WGE;EDWW;EDVV;;;00398;DLE;N52150116;E009530059;11520;276;;2
196;LJ;DOL;DOLSKO;N46050290;E014464287;;;E0014;WGE;LJLA;LJLA;;;02047;DOL;N46050290;E014464287;11270;440;;2
197;ED;DOM;DORTMUND;N51423431;E007351367;;;E0000;WGE;EDLL;EDVV;;;00298;DOM;N51423431;E007351367;11270;383;;2
199;ED;DOR;WICKEDE;N51313123;E007375182;;;E0000;WGE;EDLL;EDVV;;;00373;DOR;N51313123;E007375182;10865;;;1
201;EN;DRA;DRAMMEN;N59435972;E010064485;;;W0005;WGE;ENOR;ENOR;;;01398;DRA;N59435972;E010064485;11480;517;;2
202;EP;DRE;DENKO;N52490066;E015495697;;;E0016;WGE;EPWW;EPWW;;;00118;DRE;N52490066;E015495697;11530;165;;2
203;ED;DRN;DRESDEN;N51005597;E013355600;;;E0020;WGE;EDBB;EDBB;;;01086;DRN;N51005597;E013355600;11435;520;;1
204;EG;DTY;DAVENTRY;N52104900;W001065000;;;W0030;WGE;EGTT;EGTT;;;00600;DTY;N52104900;W001065000;11640;228;;2
205;EI;DUB;DUBLIN;N53295775;W006182559;;;W0057;WGE;EISN;EISN;;;00200;DUB;N53295775;W006182559;11490;415;;2
206;ED;DUS;DUESSELDORF;N51165948;E006451342;;;W0000;WGE;EDLL;EDVV;;;00151;DUS;N51165948;E006451342;11515;258;;1
207;LR;DVA;DEVA;N45494085;E022580809;;;E0031;WGE;LRBB;LRBB;;;00951;DVA;N45494085;E022580809;10980;435;;2
209;EG;DVR;DOVER;N51094500;E001213300;;;W0019;WGE;EGTT;EGTT;;;00315;DVR;N51094500;E001213300;11495;;;2
210;LC;ECN;ERCAN;N35085600;E033295900;;;E0032;WGE;LCCC;LCCC;;;00459;ECN;N35085600;E033295900;11700;;;0
211;EH;EEL;EELDE;N53095006;E006400003;;;W0003;WGE;EHAA;EHAA;;;00032;EEL;N53095006;E006400003;11240;323;;2
220;EF;ENO;ENODAK;N68225256;E023274233;;;E0082;WGE;EFPS;EFPS;;;01127;ENO;N68225256;E023274233;11710;550;;2
222;LE;EON;LEON;N42353757;W005384612;;;W0038;WGE;LECM;LECM;;;03013;EON;N42353742;W005384548;11200;352;;0
224;LF;EPR;EPERNON;N48373250;E001392360;;;W0027;WGE;LFFF;LFFF;;;00000;EPR;N48373250;E001392360;11565;303;;1
226;ED;ERF;ERFURT;N50570313;E011141208;;;E0010;WGE;EDBB;EDBB;;;01325;ERF;N50570313;E011141208;11385;000;;1
227;ED;ERL;ERLANGEN;N49391949;E011090292;;;E0010;WGE;EDFF;EDUU;;;01841;ERL;N49391949;E011090292;11490;280;;2
229;ED;EUR;EURACH;N47440596;E011145785;;;E0005;WGE;EDMM;EDUU;;;02279;EUR;N47440596;E011145785;11520;223;;1
230;EN;EVD;EVENES;N68272630;E016405417;;;E0040;WGE;ENOR;ENOR;;;00153;EVD;N68272630;E016405417;11735;;;2
238;LF;FGI;FIGARI SUD CORSE;N41300790;E009050030;;;E0010;WGE;LFMM;LFFF;;;00144;FGI;N41300790;E009050030;11670;315;;1
240;LF;FJR;FREJORGUES;N43344210;E003582900;;;W0010;WGE;LFMM;LFFF;;;00007;FJR;N43344210;E003582900;11445;;;2
241;ED;FLD;FRIEDLAND;N53454585;E013334729;;;E0020;WGE;EDBB;EDBB;;;00043;FLD;N53454585;E013334729;11715;316;;2
243;EB;FLO;FLORA;N50523599;E005080432;;;W0012;WGE;EBBU;EBUR;;;00200;FLO;N50523599;E005080432;11205;221;;1
244;EN;FLO;FLORO;N61345362;E005011265;;;W0030;WGE;ENOR;ENOR;;;00066;FLO;N61345362;E005011265;11230;322;;2
245;LR;FLR;FLORESTI;N44300298;E025422940;;;E0036;WGE;LRBB;LRBB;;;00499;FLR;N44300298;E025422940;11220;394;;3
246;EN;FLS;FLESLAND;N60184054;E005124390;;;W0029;WGE;ENOR;ENOR;;;00213;FLS;N60184054;E005124390;11555;445;;2
247;LO;FMD;FISCHAMEND;N48061841;E016374535;;;E0017;WGE;LOVV;LOVV;;;00639;FMD;N48061841;E016374535;11040;508;;1
250;LO;FRE;FREISTADT;N48255441;E014074739;;;E0014;WGE;LOVV;LOVV;;;02014;FRE;N48255441;E014074739;11350;195;;2
251;LS;FRI;FRIBOURG;N46463931;E007132460;;;W0000;WGE;LSAS;LSAS;;;02659;FRI;N46463931;E007132460;11085;;;1
252;LI;FRS;FROSINONE;N41383180;E013174180;;;E0012;WGE;LIRR;LIRR;;;00662;FRS;N41383180;E013174180;11560;000;;1
253;LP;FRS;FLORES;N39271292;W031123750;;;W0127;WGE;LPPO;LPPO;;;02000;FRS;N39271291;W031123756;11330;;;1
255;LG;FSK;FISKA;N41055537;E022592936;;;E0025;;LGGG;LGGG;;;01312;FSK;N41055537;E022592936;11640;000;;2
256;LP;FTM;FATIMA;N39395645;W008293354;;;W0039;WGE;LPPC;LPPC;;;00686;FTM;N39395788;W008293557;11350;;;1
257;ED;FUL;FULDA;N50353284;E009341981;;;E0000;WGE;EDFF;EDUU;;;01138;FUL;N50353284;E009341981;11210;416;;2
258;LP;FUN;FUNCHAL;N32444981;W016421963;;;W0067;WGE;LPPC;LPPC;;;00504;FUN;N32444934;W016422047;11220;;;2
259;ED;FWE;FUERSTENWALDE;N52244081;E014075012;;;E0020;WGE;EDBB;EDBB;;;00238;FWE;N52244081;E014075012;11330;340;;1
261;EG;GAM;GAMSTON;N53165300;W000565000;;;W0032;WGE;EGTT;EGTT;;;00121;GAM;N53165300;W000565000;11280;295;;2
262;LG;GAR;KERKIRA / GARITSA;N39362308;E019543390;;;E0026;;LGGG;LGGG;;;00030;GAR;N39362308;E019543390;10880;000;;0
267;LI;GEN;GENOA;N44252768;E009045550;;;E0002;WGE;LIMM;LIMM;;;02915;GEN;N44252768;E009045550;11280;263;;2
272;LE;GIR;GIRONA;N41555224;E002461908;;;W0017;WGE;LECB;LECB;;;00535;GIR;N41555229;E002461881;11410;385;;2
274;LC;GKE;GECITKALE;N35140700;E033454900;;;E0030;WGE;LCCC;LCCC;;;00197;GKE;N35140700;E033454900;11430;000;;3
275;LR;GLT;GALATI;N45245877;E027553988;;;E0042;WGE;LRBB;LRBB;;;00203;GLT;N45245877;E027553988;10820;337;;3
276;ED;GMH;GERMINGHAUSEN;N51101384;E007533134;;;E0000;WGE;EDLL;EDVV;;;01821;GMH;N51101384;E007533134;11540;222;;2
278;LB;GOL;GOLYAMA;N43054300;E024131400;;;E0031;;LBSR;LBSR;;;01378;GOL;N43054300;E024131400;11410;529;;2
280;ED;GOT;GOTEM;N51203522;E011355110;;;E0010;WGE;EDBB;EDBB;;;00721;GOT;N51203522;E011355110;11525;202;;2
281;EG;GOW;GLASGOW;N55521381;W004264461;;;W0052;WGE;EGPX;EGPX;;;00037;GOW;N55521381;W004264461;11540;523;;2
283;LS;GRE;GRENCHEN;N47105935;E007250545;;;W0001;WGE;LSAS;LSAS;;;01435;GRE;N47105482;E007250042;11545;116;;0
284;EN;GRM;GARDERMOEN;N60113033;E011042791;;;W0000;WGE;ENOR;ENOR;;;00693;GRM;N60113033;E011042791;11595;;;2
285;LB;GRN;GORNA;N43091400;E025423900;;;E0030;;LBSR;LBSR;;;00295;GRN;N43091400;E025423900;11360;286;;2
288;EP;GRU;GRUDZIADZ;N53311648;E018465283;;;E0026;WGE;EPWW;EPWW;;;00295;GRU;N53311648;E018465283;11460;332;;2
289;LO;GRZ;GRAZ;N46571932;E015265795;;;E0015;WGE;LOVV;LOVV;;;01097;GRZ;N46571932;E015265795;11620;213;;1
291;EB;GSY;GOSLY;N50271382;E004262895;;;W0014;WGE;EBBU;EBUR;;;00655;GSY;N50271382;E004262895;11570;276;;1
292;LF;GTQ;GROSTENQUIN;N48591120;E006425840;;;W0010;WGE;LFEE;LFFF;;;00900;GTQ;N48591120;E006425840;11125;384;;2
293;EG;GUR;GUERNSEY;N49261385;W002361330;;;W0040;WGE;LFRR;LFFF;;;00355;GUR;N49261385;W002361330;10940;442;;2
294;LS;GVA;GENEVE;N46151408;E006075600;;;E0000;WGE;LSAS;LSAS;;;01377;GVA;N46151408;E006075600;11575;000;;0
295;EG;GWC;GOODWOOD;N50511878;W000452425;;;W0027;WGE;EGTT;EGTT;;;00113;GWC;N50511878;W000452425;11475;386;;2
296;LH;GYR;GYOR;N47393278;E017432767;;;E0019;WGE;LHCC;LHCC;;;00515;GYR;N47393238;E017432760;11510;000;;1
297;LM;GZO;GOZO;N36021400;E014121900;;;E0010;WGE;LMMM;LMMM;;;00532;GZO;N36021400;E014121900;11570;458;;2
300;EF;HAL;HALLI;N61511683;E024480938;;;E0070;WGE;EFES;EFES;;;00484;HAL;N61511683;E024480938;11520;361;;2
305;ED;HDO;HERMSDORF;N50554134;E014220768;;;E0020;WGE;EDBB;EDBB;;;01439;HDO;N50554134;E014220768;11500;395;;2
306;EH;HDR;DEN HELDER;N52542468;E004455660;;;W0009;WGE;EHAA;EHAA;;;00029;HDR;N52542468;E004455660;11555;262;;2
309;EF;HEL;HELSINKI;N60201614;E024571343;;;E0059;WGE;EFES;EFES;;;00239;HEL;N60201614;E024571343;11420;451;;2
