11450;ED;ITGE;ILS PISTE;N52333801;E013185253;EDDT;ED;E002;WGE;;;;;;1;10850;RW08R;0790;N52332222;E013165132;0957;;0193;;300;04;90010;9
11451;ED;ITGW;ILS PISTE;N52332217;E013161094;EDDT;ED;E002;WGE;;;;;;1;10930;RW26L;2590;N52332971;E013180787;1188;;0236;;300;04;90012;2
11452;ED;ITLE;ILS PISTE;N52334527;E013185785;EDDT;ED;E002;WGE;;;;;;3;10910;RW08L;0790;N52333296;E013161227;1422;;1050;;300;04;90011;0
11453;ED;ITLW;ILS PISTE;N52332604;E013154174;EDDT;ED;E002;WGE;;;;;;3;11010;RW26R;2590;N52334534;E013181846;0936;;0202;;300;05;10011;7
11566;ED;IHNE;ILS PISTE;N52280027;E009422548;EDDV;ED;E001;WGE;;;;;;3;10830;RW09L;0920;N52281110;E009392457;1640;;0037;;300;04;60018;3
11567;ED;IHNW;ILS PISTE;N52280642;E009384281;EDDV;ED;E001;WGE;;;;;;3;10890;RW27R;2720;N52280733;E009414138;1666;;0044;;300;05;00018;3
11568;ED;IHSE;ILS PISTE;N52271408;E009425545;EDDV;ED;E001;WGE;;;;;;1;10870;RW09R;0920;N52271359;E009405303;0950;;0039;;300;05;00017;2
11569;ED;IHSW;ILS PISTE;N52271832;E009402286;EDDV;ED;E001;WGE;;;;;;1;10950;RW27L;2720;N52270912;E009422442;0837;;0039;;300;05;30018;3
11628;ED;IBRE;ILS PISTE;N53025079;E008484586;EDDW;ED;W000;WGE;;;;;;3;11030;RW09;0880;N53024223;E008464541;1717;;1083;;300;44;90001;1
11629;ED;IBRW;ILS PISTE;N53024705;E008460098;EDDW;ED;W000;WGE;;;;;;1;11090;RW27;2680;N53024478;E008480206;1633;;0984;;300;44;90001;1
11668;ED;IHAE;ILS PISTE;N49573974;E007163393;EDFH;ED;W000;WGE;;;;;;1;10930;RW03;0330;N49562902;E007153161;1340;;1214;;300;05;40164;8
11669;ED;IHAW;ILS PISTE;N49560277;E007145833;EDFH;ED;W000;WGE;;;;;;1;11130;RW21;2130;N49572307;E007161035;1306;;0836;;300;05;00159;5
11692;ED;IMAW;ILS PISTE;N49282356;E008301762;EDFM;ED;E001;WGE;;;;;;0;10855;RW27;2730;;;0299;;;;;0;;
11708;ED;ISIW;ILS PISTE;N50424791;E008041764;EDGS;ED;E000;WGE;;;;;;1;10890;RW31;3080;N50421523;E008051349;0326;;0860;;300;05;20192;8
11737;ED;HFW;ILS PISTE;N53314130;E009491313;EDHI;ED;E001;WGE;;;;;;1;10850;RW23;2310;N53321231;E009502631;0207;;1033;;300;05;20001;6
11738;ED;IHFE;ILS PISTE;N53323661;E009511041;EDHI;ED;E001;WGE;;;;;;1;11070;RW05;0510;N53315241;E009493013;0201;;0621;;310;04;90001;6
11763;ED;IKHE;ILS PISTE;N54224455;E010085783;EDHK;ED;E001;WGE;;;;;;1;10950;RW08;0850;N54224039;E010082860;1040;-;0922;;300;03;70009;7
11764;ED;IKHW;ILS PISTE;N54224303;E010080012;EDHK;ED;E001;WGE;;;;;;1;10950;RW26;2620;N54224277;E010090019;0327;;0123;;300;04;00008;7
11790;ED;ILUE;ILS PISTE;N53483002;E010440573;EDHL;ED;E001;WGE;;;;;;1;11170;RW07;0720;N53481743;E010423375;0674;;0327;;300;04;90005;3
